"filename", "language", "JavaScript", "SCSS", "JavaScript React", "XML", "comment", "blank", "total"
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\App.jsx", "JavaScript React", 0, 0, 40, 0, 23, 9, 72
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\Olden.svg", "XML", 0, 0, 0, 17, 1, 0, 18
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\X.svg", "XML", 0, 0, 0, 12, 0, 0, 12
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\crown.svg", "XML", 0, 0, 0, 16, 1, 0, 17
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\loading.svg", "XML", 0, 0, 0, 14, 0, 0, 14
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\search.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\shopping-bag.svg", "XML", 0, 0, 0, 52, 1, 1, 54
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\tick.svg", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\trolley.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.component.jsx", "JavaScript React", 0, 0, 15, 0, 0, 4, 19
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.styles.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.component.jsx", "JavaScript React", 0, 0, 204, 0, 0, 13, 217
"c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.styles.scss", "SCSS", 0, 248, 0, 0, 0, 30, 278
