Date : 2024-04-24 11:12:51
Directory : c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src
Total : 71 files,  2720 codes, 38 comments, 470 blanks, all 3228 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         33 |      1,354 |         30 |        270 |      1,654 |
| SCSS             |         25 |      1,047 |          0 |        166 |      1,213 |
| JavaScript       |          4 |        183 |          5 |         32 |        220 |
| XML              |          9 |        136 |          3 |          2 |        141 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |         71 |      2,720 |         38 |        470 |      3,228 |
| . (Files)                                                                                                                                                |          4 |        108 |         23 |         20 |        151 |
| assets                                                                                                                                                   |          8 |        121 |          3 |          1 |        125 |
| components                                                                                                                                               |         28 |      1,224 |          0 |        184 |      1,408 |
| components\Layout                                                                                                                                        |          2 |         18 |          0 |          4 |         22 |
| components\admin-card-user                                                                                                                               |          2 |        452 |          0 |         43 |        495 |
| components\button                                                                                                                                        |          2 |         65 |          0 |         11 |         76 |
| components\cart-dropdown                                                                                                                                 |          2 |         78 |          0 |         14 |         92 |
| components\cart-icon                                                                                                                                     |          2 |         36 |          0 |          8 |         44 |
| components\cart-item                                                                                                                                     |          2 |         34 |          0 |          6 |         40 |
| components\category-preview                                                                                                                              |          2 |         35 |          0 |          7 |         42 |
| components\checkout-item                                                                                                                                 |          2 |         68 |          0 |         13 |         81 |
| components\directory                                                                                                                                     |          2 |         27 |          0 |          7 |         34 |
| components\directory-item                                                                                                                                |          2 |         80 |          0 |         16 |         96 |
| components\form-input                                                                                                                                    |          2 |         64 |          0 |         12 |         76 |
| components\product-categories-section-admin                                                                                                              |          2 |         80 |          0 |         12 |         92 |
| components\product_card                                                                                                                                  |          2 |         69 |          0 |         14 |         83 |
| components\user-section-admin                                                                                                                            |          2 |        118 |          0 |         17 |        135 |
| contexts                                                                                                                                                 |          5 |        321 |          0 |         70 |        391 |
| routes                                                                                                                                                   |         22 |        763 |          7 |        163 |        933 |
| routes\admin                                                                                                                                             |          2 |         15 |          0 |          9 |         24 |
| routes\categories-preview                                                                                                                                |          1 |         17 |          0 |          3 |         20 |
| routes\category                                                                                                                                          |          2 |         55 |          0 |         13 |         68 |
| routes\checkout                                                                                                                                          |          2 |         94 |          0 |         16 |        110 |
| routes\footer                                                                                                                                            |          2 |         45 |          0 |         10 |         55 |
| routes\home                                                                                                                                              |          1 |         16 |          0 |          7 |         23 |
| routes\loadingFeedback                                                                                                                                   |          2 |        139 |          7 |         22 |        168 |
| routes\navigation                                                                                                                                        |          2 |         86 |          0 |         17 |        103 |
| routes\page_not_found                                                                                                                                    |          2 |         25 |          0 |          4 |         29 |
| routes\shop                                                                                                                                              |          2 |         19 |          0 |          4 |         23 |
| routes\sign-in-form                                                                                                                                      |          2 |        120 |          0 |         29 |        149 |
| routes\sign-up-form                                                                                                                                      |          2 |        132 |          0 |         29 |        161 |
| utils                                                                                                                                                    |          4 |        183 |          5 |         32 |        220 |
| utils\firebase                                                                                                                                           |          3 |        180 |          5 |         32 |        217 |
| utils\reducer                                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\App.jsx                                                                                     | JavaScript React |         40 |         23 |          9 |         72 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\Olden.svg                                                                            | XML              |         17 |          1 |          0 |         18 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\X.svg                                                                                | XML              |         12 |          0 |          0 |         12 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\crown.svg                                                                            | XML              |         16 |          1 |          0 |         17 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\loading.svg                                                                          | XML              |         14 |          0 |          0 |         14 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\search.svg                                                                           | XML              |          1 |          0 |          0 |          1 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\shopping-bag.svg                                                                     | XML              |         52 |          1 |          1 |         54 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\tick.svg                                                                             | XML              |          8 |          0 |          0 |          8 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\assets\trolley.svg                                                                          | XML              |          1 |          0 |          0 |          1 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.component.jsx                                                      | JavaScript React |         15 |          0 |          4 |         19 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\Layout\layout.styles.scss                                                        | SCSS             |          3 |          0 |          0 |          3 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.component.jsx                                    | JavaScript React |        204 |          0 |         13 |        217 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\admin-card-user\admin-card-user.styles.scss                                      | SCSS             |        248 |          0 |         30 |        278 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\button\button.component.jsx                                                      | JavaScript React |         17 |          0 |          4 |         21 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\button\button.styles.scss                                                        | SCSS             |         48 |          0 |          7 |         55 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-dropdown\cart-dropdown.component.jsx                                        | JavaScript React |         40 |          0 |          7 |         47 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-dropdown\cart-dropdown.styles.scss                                          | SCSS             |         38 |          0 |          7 |         45 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-icon\cart-icon.component.jsx                                                | JavaScript React |         17 |          0 |          5 |         22 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-icon\cart-icon.styles.scss                                                  | SCSS             |         19 |          0 |          3 |         22 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-item\cart-item.component.jsx                                                | JavaScript React |         14 |          0 |          2 |         16 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\cart-item\cart-item.styles.scss                                                  | SCSS             |         20 |          0 |          4 |         24 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\category-preview\category-preview.component.jsx                                  | JavaScript React |         20 |          0 |          4 |         24 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\category-preview\category-preview.styless.scss                                   | SCSS             |         15 |          0 |          3 |         18 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\checkout-item\checkout-item.component.jsx                                        | JavaScript React |         33 |          0 |          6 |         39 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\checkout-item\checkout-item.styles.scss                                          | SCSS             |         35 |          0 |          7 |         42 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\directory-item\directory-item.component.jsx                                      | JavaScript React |         22 |          0 |          5 |         27 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\directory-item\directory-item.styles.scss                                        | SCSS             |         58 |          0 |         11 |         69 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\directory\directory.component.jsx                                                | JavaScript React |         20 |          0 |          6 |         26 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\directory\directory.styles.scss                                                  | SCSS             |          7 |          0 |          1 |          8 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\form-input\form-input.component.jsx                                              | JavaScript React |         18 |          0 |          3 |         21 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\form-input\form-input.styles.scss                                                | SCSS             |         46 |          0 |          9 |         55 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\product-categories-section-admin\product-categories-section-admin.components.jsx | JavaScript React |         33 |          0 |          6 |         39 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\product-categories-section-admin\product-categories-section-admin.styles.scss    | SCSS             |         47 |          0 |          6 |         53 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\product_card\product_card.component.jsx                                          | JavaScript React |         25 |          0 |          6 |         31 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\product_card\product_card.styles.scss                                            | SCSS             |         44 |          0 |          8 |         52 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\user-section-admin\user-section-admin.component.jsx                              | JavaScript React |         45 |          0 |          7 |         52 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\components\user-section-admin\user-section-admin.styles.scss                                | SCSS             |         73 |          0 |         10 |         83 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\cart.context.jsx                                                                   | JavaScript React |        105 |          0 |         22 |        127 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\categories.contexts.jsx                                                            | JavaScript React |         21 |          0 |         11 |         32 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\loadingFeedback.context.jsx                                                        | JavaScript React |         45 |          0 |          9 |         54 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\urlHistory.context.jsx                                                             | JavaScript React |         29 |          0 |          7 |         36 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\contexts\user.context.jsx                                                                   | JavaScript React |        121 |          0 |         21 |        142 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\favicon.svg                                                                                 | XML              |         15 |          0 |          1 |         16 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\index.scss                                                                                  | SCSS             |         26 |          0 |          7 |         33 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\main.jsx                                                                                    | JavaScript React |         27 |          0 |          3 |         30 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\admin\admin.component.jsx                                                            | JavaScript React |         13 |          0 |          6 |         19 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\admin\admin.styles.scss                                                              | SCSS             |          2 |          0 |          3 |          5 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\categories-preview\categories-preview.component.jsx                                  | JavaScript React |         17 |          0 |          3 |         20 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\category\category.component.jsx                                                      | JavaScript React |         36 |          0 |         10 |         46 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\category\category.styles.scss                                                        | SCSS             |         19 |          0 |          3 |         22 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\checkout\checkout.component.jsx                                                      | JavaScript React |         46 |          0 |          7 |         53 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\checkout\checkout.styles.scss                                                        | SCSS             |         48 |          0 |          9 |         57 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\footer\footer.component.jsx                                                          | JavaScript React |         35 |          0 |          9 |         44 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\footer\footer.styles.scss                                                            | SCSS             |         10 |          0 |          1 |         11 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\home\home.component.jsx                                                              | JavaScript React |         16 |          0 |          7 |         23 |
| c:\Users\Mirzokhid\OneDrive\Desktop\git\React\Vite-Crown\src\routes\loadingFeedback\loadingFeedback.component.jsx                                        | JavaScript React |         35 |          7 |          9 |         51 |
